HOST-RESOURCES-MIB::hrFSIndex.1 1
HOST-RESOURCES-MIB::hrFSIndex.2 2
HOST-RESOURCES-MIB::hrFSIndex.3 3
HOST-RESOURCES-MIB::hrFSIndex.4 4
HOST-RESOURCES-MIB::hrFSIndex.5 5
HOST-RESOURCES-MIB::hrFSIndex.6 6
HOST-RESOURCES-MIB::hrFSMountPoint.1 "/"
HOST-RESOURCES-MIB::hrFSMountPoint.2 "/sys/fs/fuse/connections"
HOST-RESOURCES-MIB::hrFSMountPoint.3 "/dev"
HOST-RESOURCES-MIB::hrFSMountPoint.4 "/sys/fs/cgroup/cpuset"
HOST-RESOURCES-MIB::hrFSMountPoint.5 "/boot"
HOST-RESOURCES-MIB::hrFSMountPoint.6 "/data"
HOST-RESOURCES-MIB::hrFSRemoteMountPoint.1 ""
HOST-RESOURCES-MIB::hrFSRemoteMountPoint.2 ""
HOST-RESOURCES-MIB::hrFSRemoteMountPoint.3 ""
HOST-RESOURCES-MIB::hrFSRemoteMountPoint.4 ""
HOST-RESOURCES-MIB::hrFSRemoteMountPoint.5 ""
HOST-RESOURCES-MIB::hrFSRemoteMountPoint.6 ""
HOST-RESOURCES-MIB::hrFSType.1 HOST-RESOURCES-TYPES::hrFSLinuxExt2
HOST-RESOURCES-MIB::hrFSType.2 HOST-RESOURCES-TYPES::hrFSOther
HOST-RESOURCES-MIB::hrFSType.3 HOST-RESOURCES-TYPES::hrFSOther
HOST-RESOURCES-MIB::hrFSType.4 HOST-RESOURCES-TYPES::hrFSOther
HOST-RESOURCES-MIB::hrFSType.5 HOST-RESOURCES-TYPES::hrFSLinuxExt2
HOST-RESOURCES-MIB::hrFSType.6 HOST-RESOURCES-TYPES::hrFSLinuxExt2
HOST-RESOURCES-MIB::hrFSAccess.1 readWrite
HOST-RESOURCES-MIB::hrFSAccess.2 readWrite
HOST-RESOURCES-MIB::hrFSAccess.3 readWrite
HOST-RESOURCES-MIB::hrFSAccess.4 readWrite
HOST-RESOURCES-MIB::hrFSAccess.5 readWrite
HOST-RESOURCES-MIB::hrFSAccess.6 readWrite
HOST-RESOURCES-MIB::hrFSBootable.1 true
HOST-RESOURCES-MIB::hrFSBootable.2 false
HOST-RESOURCES-MIB::hrFSBootable.3 false
HOST-RESOURCES-MIB::hrFSBootable.4 false
HOST-RESOURCES-MIB::hrFSBootable.5 false
HOST-RESOURCES-MIB::hrFSBootable.6 false
HOST-RESOURCES-MIB::hrFSStorageIndex.1 31
HOST-RESOURCES-MIB::hrFSStorageIndex.2 32
HOST-RESOURCES-MIB::hrFSStorageIndex.3 33
HOST-RESOURCES-MIB::hrFSStorageIndex.4 34
HOST-RESOURCES-MIB::hrFSStorageIndex.5 35
HOST-RESOURCES-MIB::hrFSStorageIndex.6 36
HOST-RESOURCES-MIB::hrFSLastFullBackupDate.1 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastFullBackupDate.2 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastFullBackupDate.3 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastFullBackupDate.4 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastFullBackupDate.5 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastFullBackupDate.6 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastPartialBackupDate.1 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastPartialBackupDate.2 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastPartialBackupDate.3 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastPartialBackupDate.4 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastPartialBackupDate.5 0-1-1,0:0:0.0
HOST-RESOURCES-MIB::hrFSLastPartialBackupDate.6 0-1-1,0:0:0.0

