SNMPv2-MIB::sysDescr.0 Linux deployer 3.2.0-23-generic #36-Ubuntu SMP Tue Apr 10 20:39:51 UTC 2012 x86_64
SNMPv2-MIB::sysObjectID.0 NET-SNMP-MIB::netSnmpAgentOIDs.10
DISMAN-EVENT-MIB::sysUpTimeInstance 1:1:44:34.38
SNMPv2-MIB::sysContact.0 Me <me@example.org>
SNMPv2-MIB::sysName.0 deployer
SNMPv2-MIB::sysLocation.0 Sitting on the Dock of the Bay
SNMPv2-MIB::sysServices.0 72
SNMPv2-MIB::sysORLastChange.0 0:0:00:00.00
SNMPv2-MIB::sysORID.1 SNMP-FRAMEWORK-MIB::snmpFrameworkMIBCompliance
SNMPv2-MIB::sysORID.2 SNMP-MPD-MIB::snmpMPDCompliance
SNMPv2-MIB::sysORID.3 SNMP-USER-BASED-SM-MIB::usmMIBCompliance
SNMPv2-MIB::sysORID.4 SNMPv2-MIB::snmpMIB
SNMPv2-MIB::sysORID.5 TCP-MIB::tcpMIB
SNMPv2-MIB::sysORID.6 IP-MIB::ip
SNMPv2-MIB::sysORID.7 UDP-MIB::udpMIB
SNMPv2-MIB::sysORID.8 SNMP-VIEW-BASED-ACM-MIB::vacmBasicGroup
SNMPv2-MIB::sysORDescr.1 The SNMP Management Architecture MIB.
SNMPv2-MIB::sysORDescr.2 The MIB for Message Processing and Dispatching.
SNMPv2-MIB::sysORDescr.3 The management information definitions for the SNMP User-based Security Model.
SNMPv2-MIB::sysORDescr.4 The MIB module for SNMPv2 entities
SNMPv2-MIB::sysORDescr.5 The MIB module for managing TCP implementations
SNMPv2-MIB::sysORDescr.6 The MIB module for managing IP and ICMP implementations
SNMPv2-MIB::sysORDescr.7 The MIB module for managing UDP implementations
SNMPv2-MIB::sysORDescr.8 View-based Access Control Model for SNMP.
SNMPv2-MIB::sysORUpTime.1 0:0:00:00.00
SNMPv2-MIB::sysORUpTime.2 0:0:00:00.00
SNMPv2-MIB::sysORUpTime.3 0:0:00:00.00
SNMPv2-MIB::sysORUpTime.4 0:0:00:00.00
SNMPv2-MIB::sysORUpTime.5 0:0:00:00.00
SNMPv2-MIB::sysORUpTime.6 0:0:00:00.00
SNMPv2-MIB::sysORUpTime.7 0:0:00:00.00
SNMPv2-MIB::sysORUpTime.8 0:0:00:00.00
IF-MIB::ifNumber.0 7
IF-MIB::ifIndex.1 1
IF-MIB::ifIndex.2 2
IF-MIB::ifIndex.3 3
IF-MIB::ifIndex.4 4
IF-MIB::ifIndex.5 5
IF-MIB::ifIndex.7 7
IF-MIB::ifIndex.8 8
IF-MIB::ifDescr.1 lo
IF-MIB::ifDescr.2 eth0
IF-MIB::ifDescr.3 eth1
IF-MIB::ifDescr.4 br1
IF-MIB::ifDescr.5 br0
IF-MIB::ifDescr.7 vnet0
IF-MIB::ifDescr.8 vnet1
IF-MIB::ifType.1 softwareLoopback
IF-MIB::ifType.2 ethernetCsmacd
IF-MIB::ifType.3 ethernetCsmacd
IF-MIB::ifType.4 ethernetCsmacd
IF-MIB::ifType.5 ethernetCsmacd
IF-MIB::ifType.7 ethernetCsmacd
IF-MIB::ifType.8 ethernetCsmacd
IF-MIB::ifMtu.1 16436
IF-MIB::ifMtu.2 1500
IF-MIB::ifMtu.3 1500
IF-MIB::ifMtu.4 1500
IF-MIB::ifMtu.5 1500
IF-MIB::ifMtu.7 1500
IF-MIB::ifMtu.8 1500
IF-MIB::ifSpeed.1 10000000
IF-MIB::ifSpeed.2 1000000000
IF-MIB::ifSpeed.3 1000000000
IF-MIB::ifSpeed.4 0
IF-MIB::ifSpeed.5 0
IF-MIB::ifSpeed.7 10000000
IF-MIB::ifSpeed.8 10000000
IF-MIB::ifPhysAddress.1 
IF-MIB::ifPhysAddress.2 0:15:17:60:d7:ec
IF-MIB::ifPhysAddress.3 0:15:17:60:d7:ed
IF-MIB::ifPhysAddress.4 0:15:17:60:d7:ed
IF-MIB::ifPhysAddress.5 0:15:17:60:d7:ec
IF-MIB::ifPhysAddress.7 fe:54:0:d0:67:2b
IF-MIB::ifPhysAddress.8 fe:54:0:d4:e6:26
IF-MIB::ifAdminStatus.1 up
IF-MIB::ifAdminStatus.2 up
IF-MIB::ifAdminStatus.3 up
IF-MIB::ifAdminStatus.4 up
IF-MIB::ifAdminStatus.5 up
IF-MIB::ifAdminStatus.7 up
IF-MIB::ifAdminStatus.8 up
IF-MIB::ifOperStatus.1 up
IF-MIB::ifOperStatus.2 up
IF-MIB::ifOperStatus.3 up
IF-MIB::ifOperStatus.4 up
IF-MIB::ifOperStatus.5 up
IF-MIB::ifOperStatus.7 up
IF-MIB::ifOperStatus.8 up
IF-MIB::ifLastChange.1 0:0:00:00.00
IF-MIB::ifLastChange.2 0:0:00:00.00
IF-MIB::ifLastChange.3 0:0:00:00.00
IF-MIB::ifLastChange.4 0:0:00:00.00
IF-MIB::ifLastChange.5 0:0:00:00.00
IF-MIB::ifLastChange.7 0:0:00:00.00
IF-MIB::ifLastChange.8 0:0:00:00.00
IF-MIB::ifInOctets.1 838467118
IF-MIB::ifInOctets.2 974113743
IF-MIB::ifInOctets.3 55031811
IF-MIB::ifInOctets.4 93859389
IF-MIB::ifInOctets.5 773702141
IF-MIB::ifInOctets.7 1416848
IF-MIB::ifInOctets.8 63592455
IF-MIB::ifInUcastPkts.1 220692
IF-MIB::ifInUcastPkts.2 10104089
IF-MIB::ifInUcastPkts.3 353781
IF-MIB::ifInUcastPkts.4 661599
IF-MIB::ifInUcastPkts.5 10350288
IF-MIB::ifInUcastPkts.7 4646
IF-MIB::ifInUcastPkts.8 173486
IF-MIB::ifInNUcastPkts.1 0
IF-MIB::ifInNUcastPkts.2 412203
IF-MIB::ifInNUcastPkts.3 245980
IF-MIB::ifInNUcastPkts.4 0
IF-MIB::ifInNUcastPkts.5 0
IF-MIB::ifInNUcastPkts.7 0
IF-MIB::ifInNUcastPkts.8 0
IF-MIB::ifInDiscards.1 0
IF-MIB::ifInDiscards.2 0
IF-MIB::ifInDiscards.3 0
IF-MIB::ifInDiscards.4 0
IF-MIB::ifInDiscards.5 0
IF-MIB::ifInDiscards.7 0
IF-MIB::ifInDiscards.8 0
IF-MIB::ifInErrors.1 0
